2021-04-27 10:46:58,552 INFO    MainThread:1291709 [wandb_setup.py:_flush():69] setting env: {}
2021-04-27 10:46:58,553 INFO    MainThread:1291709 [wandb_setup.py:_flush():69] setting login settings: {}
2021-04-27 10:46:58,553 INFO    MainThread:1291709 [wandb_setup.py:_flush():69] setting login settings: {}
2021-04-27 10:46:58,553 INFO    MainThread:1291709 [wandb_init.py:_log_setup():319] Logging user logs to /home/ubuntu/evgeny/GEP-forecasts/EVERGI/wandb/run-20210427_104658-1by1vqzj/logs/debug.log
2021-04-27 10:46:58,553 INFO    MainThread:1291709 [wandb_init.py:_log_setup():320] Logging internal logs to /home/ubuntu/evgeny/GEP-forecasts/EVERGI/wandb/run-20210427_104658-1by1vqzj/logs/debug-internal.log
2021-04-27 10:46:58,553 INFO    MainThread:1291709 [wandb_init.py:init():352] calling init triggers
2021-04-27 10:46:58,553 INFO    MainThread:1291709 [wandb_init.py:init():357] wandb.init called with sweep_config: {}
config: {'layers': 1, 'dropout': 0.3, 'neurons': 64, 'learning rate': 0.001, 'batch_size': 1500, 'architecture': 'local', 'dataset': 'London', 'building': 'MAC003988', 'epochs': 40, 'patience': 5}
2021-04-27 10:46:58,553 INFO    MainThread:1291709 [wandb_init.py:init():401] starting backend
2021-04-27 10:46:58,553 INFO    MainThread:1291709 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-04-27 10:46:58,556 INFO    MainThread:1291709 [backend.py:ensure_launched():123] starting backend process...
2021-04-27 10:46:58,614 INFO    MainThread:1291709 [backend.py:ensure_launched():127] started backend process with pid: 1300544
2021-04-27 10:46:58,616 INFO    MainThread:1291709 [wandb_init.py:init():406] backend started and connected
2021-04-27 10:46:58,619 INFO    MainThread:1291709 [wandb_init.py:init():446] updated telemetry
2021-04-27 10:46:58,620 INFO    MainThread:1291709 [wandb_init.py:init():465] communicating current version
2021-04-27 10:46:59,351 INFO    MainThread:1291709 [wandb_init.py:init():470] got version response upgrade_message: "wandb version 0.10.27 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2021-04-27 10:46:59,351 INFO    MainThread:1291709 [wandb_init.py:init():478] communicating run to backend with 30 second timeout
2021-04-27 10:46:59,614 INFO    MainThread:1291709 [wandb_init.py:init():503] starting run threads in backend
2021-04-27 10:47:01,012 INFO    MainThread:1291709 [wandb_run.py:_console_start():1422] atexit reg
2021-04-27 10:47:01,013 INFO    MainThread:1291709 [wandb_run.py:_redirect():1285] redirect: SettingsConsole.REDIRECT
2021-04-27 10:47:01,013 INFO    MainThread:1291709 [wandb_run.py:_redirect():1290] Redirecting console.
2021-04-27 10:47:01,013 INFO    MainThread:1291709 [redirect.py:install():213] install start
2021-04-27 10:47:01,013 INFO    MainThread:1291709 [redirect.py:install():228] install stop
2021-04-27 10:47:01,013 INFO    MainThread:1291709 [redirect.py:install():213] install start
2021-04-27 10:47:01,014 INFO    MainThread:1291709 [redirect.py:install():228] install stop
2021-04-27 10:47:01,014 INFO    MainThread:1291709 [wandb_run.py:_redirect():1336] Redirects installed.
2021-04-27 10:47:01,014 INFO    MainThread:1291709 [wandb_init.py:init():527] run started, returning control to user process
2021-04-27 10:49:08,110 INFO    MainThread:1291709 [wandb_run.py:finish():1078] finishing run ujohn33/3days_forcast/1by1vqzj
